Posted Date,Reference Number,Payee,Address,Amount
09/04/2023,24793383246000112700070,"Tesla Inc Supercharger 877-7983752 CA","877-7983752   CA ",-10.92
09/04/2023,24941663246838000150973,"ROYAL FARMS #244 LAUREL MD","LAUREL        MD ",-5.68
09/04/2023,24000973246360103434429,"BEST WESTERN PLUS COLL COLLEGE PARK MD","COLLEGE PARK  MD ",-163.85
09/04/2023,24793383245000049463835,"Tesla Inc Supercharger 877-7983752 CA","877-7983752   CA ",-5.51
09/02/2023,24755423245122451891095,"DCA REAGAN WASHINGTON DC","WASHINGTON    DC ",-19.00
09/02/2023,24013393244000135354165,"COLPARK LOC 708 WASHINGTON DC","WASHINGTON    DC ",-15.00
09/02/2023,24692163245100978037549,"693-REPLENISH-MCOTERMS PHILADELPHIA PA","PHILADELPHIA  PA ",-7.44
09/02/2023,24204293244000226178334,"24 Hour Fitness USA, I 800  -4326348 CA","800-4326348   CA ",-29.81
08/31/2023,24164073242091017746724,"TARGET 00017608 ORLANDO FL","ORLANDO       FL ",-52.81
08/26/2023,24164073237091017573661,"TARGET 00017608 ORLANDO FL","ORLANDO       FL ",-35.58
08/24/2023,24055243235837000154924,"WAWA 5145 ORLANDO FL","ORLANDO       FL ",-10.52
08/22/2023,24789303233298500422559,"ABM ORLANDO INTL A&B TERMORLANDO FL","ORLANDO       FL ",-80.00
08/21/2023,24226383233400004607346,"WAL-MART #0890 ORLANDO FL","ORLANDO       FL ",-44.58
08/21/2023,24164073232091017559574,"TARGET 00017608 ORLANDO FL","ORLANDO       FL ",-53.89
08/21/2023,24692163232101062344192,"SHAKE SHACK CONC A SLC SALT LAKE CITUT","SALT LAKE CIT UT ",-15.81
08/21/2023,24692163232100907662560,"SLC KSL & KINGS SALT LAKE CITUT","SALT LAKE CIT UT ",-2.56
08/21/2023,24692163232100907661117,"SLC DESERET NW SALT LAKE CITUT","SALT LAKE CIT UT ",-6.66
08/18/2023,24755423229262291610279,"MCO CIBO EXPRESS 82 ORLANDO FL","ORLANDO       FL ",-16.21
08/15/2023,24445003227000780244525,"WALGREENS #7090 ORLANDO FL","ORLANDO       FL ",-6.79
08/15/2023,24164073226091017944469,"TARGET 00017608 ORLANDO FL","ORLANDO       FL ",-12.87
08/14/2023,24040483226400174002147,"DOMU EAST END ORLANDO FL","ORLANDO       FL ",-20.44
08/14/2023,24431063226400902002390,"IZZIBAN SUSHI & BBQ ORLANDO FL","ORLANDO       FL ",-8.45
08/11/2023,24431063222083756945239,"AMZN MKTP US*TA1A81IC0 AMAMZN.COM/BILLWA","AMZN.COM/BILL WA ",-81.99
08/09/2023,24492153221207699500019,"RPS*ARDEN VILLAS RD 800-704-0154 FL","800-704-0154  FL ",-36.08
08/08/2023,24426293219017021174097,"PARIS BANH MI - ORLANDO ORLANDO FL","ORLANDO       FL ",-17.65
08/07/2023,24137463219001360820477,"WHOLEFDS WPN#10580 WINTER PARK FL","WINTER PARK   FL ",-35.78
08/07/2023,24164073218091017871365,"TARGET 00015180 ORLANDO FL","ORLANDO       FL ",-11.87
08/07/2023,24692163218109353564848,"10333 CAVA MILLENIA ORLANDO FL","ORLANDO       FL ",-16.93
08/07/2023,24989375738937578398475,"FLUCF Holdings L Rent 293526598 WEB ID: 18610345","ORLANDO       FL ",-929.21
